Finanslov;År;I alt omsætning (mio kr);Tilskud i alt § 1922;Uddannelsestilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Internationaliseringstilskud;Småfagstilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Administrative effektiviseringer;Basistilskud;Forskning;Øvrige formål;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Myndighedsbetjening;- heraf forskning;Driftsindtægter;Andre tilskud
R;2012;6702;3634;1632;1469;144;11;5;13;22;-32;2002;1900;102;3068;362;1665;439;226;511;91
R;2013;6668;3664;1681;1538;158;11;5;11;22;-64;1983;1907;76;3004;286;1685;433;230;473;127
R;2014;6518;3704;1710;1559;164;12;5;11;23;-64;1994;1921;73;2814;110;1649;426;226;452;177
R;2015;6530;3678;1687;1541;167;12;5;11;15;-64;1991;1919;72;2852;71;1765;419;217;464;133
R;2016;6739;3837;1834;1662;188;14;5;13;16;-64;2003;1933;70;2902;114;1750;409;212;496;133
B;2017;6716;3828;1821;1678;166;9;5;10;17;-64;2007;1938;69;2888;84;1837;395;205;471;101
F;2018;6550;3782;1765;1610;182;9;5;9;14;-64;2017;1936;81;2768;79;1782;376;195;445;86
BO1;2019;6476;3742;1733;1527;235;8;5;9;13;-64;2009;1930;79;2734;77;1766;368;191;434;89
BO2;2020;6328;3626;1617;1374;272;8;5;9;13;-64;2009;1930;79;2702;75;1759;361;187;426;81
BO3;2021;6101;3408;1586;1348;267;8;5;9;13;-64;1822;1744;78;2693;73;1759;354;184;426;81
