Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Forskningsbaseret myndighedsbetjening;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Driftsindtægter;Andre tilskud
R;2002;5252.2;3821.6;1383.8;1342.3;31.7;9.8;;;2437.8;1365.1;527.9;;541.0;3.8;1430.6;34.4;972.5;379.5;44.2
R;2003;5293.9;3863.1;1351.4;1313.5;27.6;10.3;;;2511.7;1421.5;548.7;;537.8;3.7;1430.8;33.2;1000.8;340.2;56.6
R;2004;5497.5;3986.2;1372.0;1299.5;26.8;10.8;34.9;;2614.2;1531.5;534.9;4.3;536.2;3.6;1511.3;67.2;1011.4;383.3;45.1
R;2005;5433.9;4049.5;1397.8;1299.3;31.2;11.7;55.6;;2651.7;1613.5;527.1;4.3;499.6;3.5;1384.4;67.7;903.7;356.4;52.3
R;2006;5885.3;4100.8;1411.4;1302.8;18.4;12.5;77.7;;2689.4;1618.3;547.4;4.3;512.2;3.5;1784.5;94.9;1020.9;547.9;116.5
B;2007;5520.3;4053.5;1437.0;1307.8;24.8;12.5;91.9;;2616.5;1639.4;533.4;12.2;443.7;0.0;1466.8;75.1;925.8;421.5;32.2
F;2008;5837.7;4251.6;1474.3;1308.3;21.8;12.0;113.5;18.7;2777.3;2156.8;0.0;3.9;612.5;;1586.1;123.8;1110.3;271.1;77.0
BO 1;2009;5817.1;4204.3;1471.4;1303.4;21.4;11.8;111.8;23.0;2732.9;2144.8;0.0;3.9;580.2;;1612.8;123.8;1138.0;270.1;77.0
BO 2;2010;5674.6;4026.5;1429.7;1287.2;21.1;11.5;109.9;;2596.8;2040.9;0.0;3.9;548.2;;1648.1;123.8;1173.3;270.1;77.0
BO 3;2011;5681.2;4016.2;1424.6;1284.5;20.7;11.3;108.1;;2591.6;2064.3;0.0;3.9;519.7;;1665.0;123.8;1190.2;270.1;77.0
