Finanslov;År;alt omsætning (mio kr);Tilskud i alt §1922;Uddannelsestilskud;Grundtilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Studietidstilskud;Beskæftigelsestilskud;Kvalitetstilskud;Internationaliseringstilskud;Administrative effektiviseringer;Øvrige faste uddannelsestilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Basistilskud;Forskning;Myndighedsbetjening;Øvrige formål;SEA-reform;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;- heraf forskning;Driftsindtægter;Andre tilskud
R;2016;5443;2530;819;;776;61.0;;;;7;-39.0;2.0;9;3;1711;1683;348;14;;2913;47;1859;172;647;12
R;2017;5581;2576;842;;772;74.0;;;;6;-39.0;17.0;8;4;1734;1668;350;52;;3005;41;1954;175;658;2
R;2018;5520;2525;794;;730;80.0;;;;6;-40.0;9.0;6;3;1731;1672;348;45;;2995;35;1928;174;676;8
R;2019;5565;2536;831;198.0;555;;30.0;28.0;5.0;6;;;6;3;1705;1655;338;36;;3029;31;1922;169;720;18
R;2020;5695;2564;854;198.0;570;;32.0;30.0;5.0;6;;4.0;6;3;1710;1662;245;36;-2.0;3131;33;1921;97;889;43
B;2021;5852;2576;876;198.0;595;;33.0;30.0;;6;;5.0;6;3;1700;1650;235;38;-2.0;3276;36;2095;94;863;47
F;2022;5786;2584;903;189.0;626;;34.0;32.0;;6;;7.0;6;3;1681;1630;238;39;-2.0;3202;36;2060;119;854;14
BO1;2023;5792;2593;913;189.0;639;;35.0;35.0;;6;;;6;3;1680;1626;234;42;-2.0;3199;37;2060;117;854;14
BO2;2024;5786;2587;918;189.0;642;;36.0;36.0;;6;;;6;3;1669;1621;234;36;-2.0;3199;37;2060;117;854;14
BO3;2025;5666;2467;909;189.0;635;;35.0;35.0;;6;;;6;3;1558;1508;234;38;-2.0;3199;37;2060;117;854;14
