Finanslov;År;alt omsætning (mio kr);Tilskud i alt §1922;Uddannelsestilskud;Grundtilskud;Uddannelsestaxameter (Heltid);Færdiggørelsesbonus;Studietidstilskud;Beskæftigelsestilskud;Kvalitetstilskud;Administrative effektiviseringer;Øvrige faste uddannelsestilskud;Fripladser og stipendier;Uddannelsestaxameter (Deltid);Basistilskud;Forskning;Øvrige formål;SEA-reform;Øvrige tilskud og indtægter i alt;Øvrige uddannelsestilskud mv;Tilskudsfinansieret forskning;Driftsindtægter
R;2016;297;252;147;;135;11.0;;;;-3.0;-1.0;2;3;105;104;1.0;;45;4;24;17
R;2017;298;251;147;;133;13.0;;;;-3.0;;2;2;104;99;5.0;;47;4;26;17
R;2018;311;261;155;;138;15.0;;;;-3.0;;2;3;106;106;;;50;-2;32;20
R;2019;354;296;158;34.0;107;;6.0;6.0;1.0;;;2;2;138;136;2.0;;58;3;37;18
R;2020;341;290;169;34.0;116;;6.0;5.0;1.0;;3.0;2;2;121;136;2.0;-17.0;51;1;34;16
B;2021;361;295;176;34.0;121;;7.0;6.0;;;4.0;2;2;119;136;;-17.0;66;2;36;28
F;2022;368;302;182;33.0;127;;7.0;7.0;;;4.0;2;2;120;136;1.0;-17.0;66;1;44;21
BO1;2023;370;301;180;33.0;129;;7.0;7.0;;;;2;2;121;136;2.0;-17.0;69;1;47;21
BO2;2024;373;300;179;33.0;128;;7.0;7.0;;;;2;2;121;137;1.0;-17.0;73;1;49;23
BO3;2025;330;254;178;33.0;127;;7.0;7.0;;;;2;2;76;92;1.0;-17.0;76;1;50;25
