Finanslov;År;I alt omsætning (mio kr);Tilskud i alt UBST;Uddannelsestilskud fra UBST;Heltidsuddannelse;Deltidsuddannelse;Udvekslingsstuderende;Færdiggørelsesbonus;Udvikling;Basistilskud fra UBST;Forskning;Kapitaltilskud;Forskningsbaseret myndighedsbetjening;Øvrige formål;Grundtilskud;Øvrige tilskud og indtægter i alt;Uddannelsestilskud fra UVM mv;Tilskudsfinansieret forskning;Forskningsbaseret myndighedsbetjening *;- heraf forskning;Driftsindtægter;Andre tilskud
R;2002;3133.6;1474.1;411.1;402.4;5.1;3.6;;;1063.0;533.0;130.1;263.3;135.3;1.3;1659.5;161.1;757.6;374.2;166.5;342.5;24.1
R;2003;3190.2;1489.6;440.8;431.4;5.7;3.7;;;1048.8;519.0;122.5;257.5;148.6;1.2;1700.6;154.3;735.6;371.1;165.0;403.6;36.0
R;2004;3167.5;1522.3;466.3;446.0;5.4;3.9;11.0;;1056.0;519.1;128.1;270.6;137.0;1.2;1645.2;158.9;746.8;372.0;165.3;336.2;31.3
R;2005;3215.4;1584.3;469.4;444.1;5.2;4.0;16.1;;1114.9;570.5;130.0;286.7;126.5;1.2;1631.1;147.3;796.7;378.2;168.1;282.8;26.1
R;2006;3309.4;1551.6;463.0;433.0;3.8;3.6;22.6;;1088.6;577.1;129.8;257.1;123.4;1.2;1757.8;150.0;844.0;380.9;168.8;357.8;25.1
B;2007;3154.7;1569.2;469.8;436.8;4.3;3.4;25.3;;1099.4;612.1;83.9;293.0;110.4;0.0;1585.5;133.1;809.6;345.9;154.6;267.7;29.2
F;2008;3253.5;1669.3;468.5;422.7;4.2;3.0;32.4;6.2;1200.8;818.2;-60.0;292.3;150.3;;1584.2;123.8;836.4;329.8;154.4;265.6;28.6
BO 1;2009;3283.9;1677.8;464.7;418.1;4.1;3.0;31.9;7.6;1213.1;1125.0;-60.0;;148.1;;1606.1;123.6;859.0;325.0;154.2;269.9;28.6
BO 2;2010;3226.2;1610.3;441.0;402.6;4.1;2.9;31.4;;1169.3;1083.8;-60.0;;145.5;;1615.9;122.6;875.8;317.9;154.1;271.0;28.6
BO 3;2011;3238.7;1622.5;433.5;395.8;4.0;2.8;30.9;;1189.0;1105.8;-60.0;;143.2;;1616.2;122.6;876.1;317.9;154.1;271.0;28.6
